City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,ouargla,31.9493,5.325,313.19,13,0,3.09,DZ,1691006495
272,weno,7.4515,151.8468,301.69,74,20,2.31,FM,1691006545
273,kenora,49.8167,-94.4337,300.69,47,40,4.63,CA,1691006545
274,hadibu,12.65,54.0333,299.79,80,46,9.07,YE,1691006546
275,prince george,53.9166,-122.753,287.84,88,75,1.54,CA,1691006369
276,faya-largeau,17.9257,19.1043,307.24,36,11,5.6,TD,1691006546
277,buala,-8.145,159.5921,298.75,90,100,4.84,SB,1691006547
278,parkes,-33.1333,148.1833,284.46,71,0,2.91,AU,1691006548
279,at tall,33.6103,36.3107,296.65,48,0,1.21,SY,1691006548
280,alagir,43.0422,44.2222,292.46,87,100,1.0,RU,1691006549
281,yanbu,24.0891,38.0637,308.17,34,0,8.23,SA,1691006437
282,pampa,35.5362,-100.9599,311.8,21,2,7.0,US,1691006550
283,puerto carreno,6.189,-67.4859,303.21,67,62,1.79,CO,1691006550
284,'ain el hadjar,34.7585,0.1453,302.78,21,0,3.8,DZ,1691006550
285,yangjiang,21.85,111.9667,298.65,94,99,1.12,CN,1691006407
286,ascension,30.2169,-90.9001,311.53,54,40,2.57,US,1691006551
287,mendi,-6.1761,143.6513,286.14,99,100,0.35,PG,1691006552
288,grand falls-windsor,48.9332,-55.6649,294.54,61,100,3.63,CA,1691006552
289,sola,-13.8833,167.55,298.37,77,99,11.38,VU,1691006552
290,lugoba,-6.45,38.3333,293.42,86,28,1.12,TZ,1691006553
291,ciudad satelite,19.5167,-99.25,296.97,45,1,2.41,MX,1691006553
292,suksun,57.1431,57.3949,289.53,91,59,1.71,RU,1691006554
293,san luis ixcan,15.7872,-91.095,300.98,75,96,0.92,GT,1691006554
294,anna regina,7.2644,-58.5077,302.6,65,2,3.03,GY,1691006555
295,whangarei,-35.7317,174.3239,279.97,78,22,1.3,NZ,1691006556
296,inhambane,-23.865,35.3833,291.14,82,40,0.0,MZ,1691006556
297,san juan de miraflores,-12.1629,-76.9635,294.44,73,59,4.13,PE,1691006557
298,vanino,49.0869,140.2543,287.18,93,89,1.74,RU,1691006557
299,coro,11.4045,-69.6734,305.77,59,14,10.76,VE,1691006558
300,queenstown,-31.8976,26.8753,282.62,39,0,2.62,ZA,1691006558
301,puerto el triunfo,13.2833,-88.55,303.29,66,53,3.79,SV,1691006383
302,sinan,34.8262,126.1086,299.21,79,8,2.92,KR,1691006559
303,dul'durga,50.6761,113.5931,289.47,55,100,3.97,RU,1691006559
304,madinat ash shamal,26.1293,51.2009,306.96,71,0,3.85,QA,1691006406
305,kachug,53.9606,105.8817,289.47,92,100,1.44,RU,1691006560
306,island harbour,50.724,-1.2758,291.19,93,63,2.24,GB,1691006560
307,mahina,-17.5065,-149.489,300.02,65,20,2.06,PF,1691006560
308,codrington,-38.2667,141.9667,283.84,65,3,8.3,AU,1691006561
309,pallasovka,50.05,46.8833,298.34,45,100,3.67,RU,1691006562
310,goz beida,13.95,20.55,299.71,60,100,3.47,TD,1691006562
311,marsh harbour,26.5412,-77.0636,302.65,65,14,3.78,BS,1691006338
312,priozersk,61.0393,30.1291,293.2,93,100,2.38,RU,1691006563
313,ambodifotatra,-16.9833,49.85,296.52,77,76,10.46,MG,1691006563
314,severnoye,56.3491,78.3619,289.95,95,100,2.24,RU,1691006564
315,port lincoln,-34.7333,135.8667,288.25,49,100,9.43,AU,1691006564
316,priladozhskiy,59.85,31.4833,292.33,1,100,2.04,RU,1691006564
317,tabou,4.423,-7.3528,297.52,86,100,5.38,CI,1691006565
318,isla mujeres,21.2311,-86.731,306.18,62,5,4.42,MX,1691006565
319,bowen,-20.0167,148.2333,292.53,77,37,7.72,AU,1691006565
320,aljezur,37.3191,-8.8033,294.04,89,2,6.2,PT,1691006565
321,lorengau,-2.0226,147.2712,300.53,82,100,5.17,PG,1691006566
322,anjangaon,21.1631,77.3094,297.84,86,100,6.69,IN,1691006566
323,kaspiyskiy,45.3929,47.3707,300.46,53,100,0.9,RU,1691006567
324,banda aceh,5.5577,95.3222,300.1,78,100,6.7,ID,1691006367
325,singaraja,-8.112,115.0882,297.65,81,0,1.28,ID,1691006567
326,puerto leguizamo,-0.1934,-74.7819,303.46,57,64,0.6,CO,1691006568
327,praia,14.9215,-23.5087,300.45,78,75,3.6,CV,1691006568
328,saldanha,-33.0117,17.9442,288.18,57,20,5.54,ZA,1691006568
329,saudarkrokur,65.7461,-19.6394,282.39,93,100,0.53,IS,1691006530
330,salalah,17.0151,54.0924,298.92,87,99,4.43,OM,1691006569
331,carbonear,47.7332,-53.2148,294.12,84,100,5.29,CA,1691006569
332,nueva helvecia,-34.3,-57.2333,299.59,74,3,7.63,UY,1691006569
333,tantou,26.0314,119.5986,302.02,79,0,3.0,CN,1691006570
334,polyarnyy,69.1989,33.4478,291.14,69,17,3.69,RU,1691006570
335,mar del plata,-38.0023,-57.5575,287.16,64,0,6.17,AR,1691006557
336,minzhu,43.7286,127.3447,295.06,97,100,3.94,CN,1691006571
337,dhidhdhoo,6.8833,73.1,301.39,76,74,5.88,MV,1691006572
338,palikir - national government center,6.9248,158.1611,301.17,73,100,4.06,FM,1691006572
339,nelson bay,-32.7167,152.15,286.53,97,0,3.58,AU,1691006572
340,zaozersk,69.4005,32.4476,288.74,79,55,1.33,RU,1691006573
341,egilsstadir,65.2653,-14.3948,283.1,76,20,5.66,IS,1691006573
342,cabedelo,-6.9811,-34.8339,297.52,82,37,4.67,BR,1691006574
343,kerema,-7.9631,145.7785,297.89,87,100,2.99,PG,1691006574
344,shakawe,-18.3667,21.85,293.01,31,75,3.32,BW,1691006574
345,mikuni,36.2171,136.1519,300.1,78,86,4.07,JP,1691006575
346,touros,-5.1989,-35.4608,299.35,81,44,8.36,BR,1691006407
347,eyl,7.9803,49.8164,299.57,74,100,10.77,SO,1691006575
348,ambon,-3.6954,128.1814,299.75,95,72,4.34,ID,1691006576
349,acapulco de juarez,16.8634,-99.8901,304.2,60,100,3.66,MX,1691006333
350,chul'man,56.8479,124.9104,280.82,81,31,0.67,RU,1691006576
351,burutu,5.3509,5.5076,297.69,82,85,2.55,NG,1691006576
352,callao,-12.0667,-77.15,295.31,60,75,3.6,PE,1691006577
353,howrah,22.5892,88.3103,300.15,94,75,2.06,IN,1691006482
354,basco,20.4487,121.9702,300.98,86,100,15.43,PH,1691006577
355,la passe,45.5549,-0.8967,292.06,75,9,10.43,FR,1691006578
356,mazatlan,23.2167,-106.4167,306.99,71,68,2.24,MX,1691006578
357,uyuni,-20.4597,-66.825,287.78,11,0,2.95,BO,1691006579
358,at taj,24.2049,23.2857,305.38,15,0,2.07,LY,1691006579
359,zhalantun,48.0,122.7167,290.97,86,100,5.04,CN,1691006580
360,flekkefjord,58.2971,6.6607,290.34,86,100,0.57,NO,1691006540
361,ormara,25.2088,64.6357,300.5,81,100,5.54,PK,1691006580
362,daru,-9.0763,143.2092,297.35,82,44,6.67,PG,1691006581
363,sona,45.4388,10.8255,299.66,65,40,2.57,IT,1691006582
364,natal,-5.795,-35.2094,301.27,69,40,8.23,BR,1691006416
